Contig,Blastx_spID,Blastx_Description,Blastx_e-value,DEG_log2FoldChange,DEG_padj,Enriched_GO_Terms
Phel_contig_28995,,,,,,
Phel_contig_28996,,,,,,
Phel_contig_28997,,,,,,
Phel_contig_28998,Q9VJ79,"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11 (EC 3.1.4.17) (EC 3.1.4.35) (cAMP and cGMP phosphodiesterase 11)",5.00E-75,,,
Phel_contig_28999,Q5HG20,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),5.00E-91,,,
Phel_contig_29,Q75WF2,Plancitoxin-1 (EC 3.1.22.1) (Plancitoxin I) (Plan-I) [Cleaved into: Plancitoxin-1 subunit alpha; Plancitoxin-1 subunit beta],7.00E-116,,,
Phel_contig_290,,,,,,
Phel_contig_2900,,,,,,
Phel_contig_29000,,,,,,
Phel_contig_29001,,,,,,
Phel_contig_29002,P50053,Ketohexokinase (EC 2.7.1.3) (Hepatic fructokinase),4.00E-42,,,
Phel_contig_29003,,,,,,
Phel_contig_29004,,,,,,
Phel_contig_29005,,,,-3.189894067,0.02118616,
Phel_contig_29006,,,,,,
Phel_contig_29007,Q5RJU3,Coiled-coil domain-containing protein 103,2.00E-42,,,
Phel_contig_29008,Q499W2,"DNA replication complex GINS protein SLD5 (GINS complex subunit 4) [Cleaved into: DNA replication complex GINS protein SLD5, N-terminally processed]",3.00E-32,,,
Phel_contig_29009,,,,,,
Phel_contig_2901,,,,,,
Phel_contig_29010,P59438,Hermansky-Pudlak syndrome 5 protein homolog (Ruby-eye protein 2) (Ru2),7.00E-11,,,
Phel_contig_29011,B4MSH7,"Tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11) (Protein vermilion) (Tryptamin 2,3-dioxygenase) (Tryptophan oxygenase) (TO) (TRPO) (Tryptophan pyrrolase) (Tryptophanase)",2.00E-83,,,
Phel_contig_29012,,,,,,
Phel_contig_29013,Q9BV94,ER degradation-enhancing alpha-mannosidase-like protein 2,1.00E-40,,,
Phel_contig_29014,,,,,,
Phel_contig_29015,Q5UQ50,Collagen-like protein 6,6.00E-10,,,
Phel_contig_29016,P69478,Carbohydrate sulfotransferase 11 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 1) (Chondroitin 4-sulfotransferase 1) (C4S-1) (C4ST-1) (C4ST1),1.00E-48,,,
Phel_contig_29017,,,,,,
Phel_contig_29018,Q6J4K2,"Sodium/potassium/calcium exchanger 6, mitochondrial (Na(+)/K(+)/Ca(2+)-exchange protein 6) (Sodium/calcium exchanger protein, mitochondrial) (Solute carrier family 24 member 6) (Solute carrier family 8 member B1)",2.00E-40,,,
Phel_contig_2902,,,,,,
Phel_contig_29021,,,,,,
Phel_contig_29022,,,,,,
Phel_contig_29023,,,,,,
Phel_contig_29024,,,,,,
Phel_contig_29025,Q8CNV2,Putative dipeptidase SE_1424 (EC 3.4.13.-),4.00E-109,,,
Phel_contig_29026,Q9VLT5,Protein purity of essence (Interaction calmodulin and colossal molecular mass protein) (Protein Calossin) (Protein pushover),3.00E-20,,,
Phel_contig_29027,P45745,Dimodular nonribosomal peptide synthase,2.00E-06,,,
Phel_contig_29028,Q8VE08,F-box only protein 33 (AIG30-12-1),2.00E-10,,,
Phel_contig_29029,Q60848,Lymphocyte-specific helicase (EC 3.6.4.-) (Proliferation-associated SNF2-like protein),3.00E-106,,,
Phel_contig_2903,,,,,,
Phel_contig_29030,Q0H8X8,Probable intron-encoded endonuclease aI2 [Cleaved into: Truncated non-functional cytochrome oxidase 1; Intron-encoded endonuclease aI2 (EC 3.1.-.-)],2.00E-65,,,
Phel_contig_29031,O00189,AP-4 complex subunit mu-1 (AP-4 adapter complex mu subunit) (Adapter-related protein complex 4 subunit mu-1) (Mu subunit of AP-4) (Mu-adaptin-related protein 2) (mu-ARP2) (Mu4-adaptin) (mu4),4.00E-40,,,
Phel_contig_29032,,,,-3.001529893,0.029425587,
Phel_contig_29033,Q8QFR2,Protein HIRA,3.00E-61,,,
Phel_contig_29034,Q01831,DNA repair protein complementing XP-C cells (Xeroderma pigmentosum group C-complementing protein) (p125),1.00E-26,,,
Phel_contig_29035,,,,,,
Phel_contig_29036,Q8K0V4,CCR4-NOT transcription complex subunit 3 (CCR4-associated factor 3),9.00E-29,,,
Phel_contig_29037,,,,,,
Phel_contig_29038,Q96EK4,THAP domain-containing protein 11,1.00E-08,,,
Phel_contig_29039,F6VSS6,tRNA (guanine(37)-N1)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5 homolog),4.00E-46,,,
Phel_contig_2904,,,,,,
Phel_contig_29040,,,,,,
Phel_contig_29041,Q85T01,NADH-ubiquinone oxidoreductase chain 5 (EC 1.6.5.3),2.00E-99,,,
Phel_contig_29042,,,,-3.326857232,0.003277875,
Phel_contig_29043,,,,,,
Phel_contig_29045,,,,,,
Phel_contig_29046,Q9NYQ6,Cadherin EGF LAG seven-pass G-type receptor 1 (Cadherin family member 9) (Flamingo homolog 2) (hFmi2),5.00E-51,,,
Phel_contig_29047,,,,,,
Phel_contig_29048,Q50097,Phosphate transport system permease protein PstA,2.00E-43,,,
Phel_contig_29049,,,,,,
Phel_contig_2905,,,,,,
Phel_contig_29050,P46700,Putative thiosulfate sulfurtransferase SseA (EC 2.8.1.1),1.00E-41,,,
Phel_contig_29051,,,,,,
Phel_contig_29053,,,,,,
Phel_contig_29054,,,,,,
Phel_contig_29055,Q9H4F1,"Alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3-N-acetyl-galactosaminide alpha-2,6-sialyltransferase (EC 2.4.99.7) (NeuAc-alpha-2,3-Gal-beta-1,3-GalNAc-alpha-2,6-sialyltransferase) (ST6GalNAc IV) (ST6GalNAcIV) (Sialyltransferase 3C) (SIAT3-C) (Sialyltransferase 7D) (SIAT7-D)",4.00E-24,,,
Phel_contig_29056,,,,,,
Phel_contig_29057,,,,,,
Phel_contig_29058,,,,,,
Phel_contig_29059,P22439,Pyruvate dehydrogenase protein X component (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (proX),4.00E-13,,,
Phel_contig_2906,P70451,Tyrosine-protein kinase Fer (EC 2.7.10.2) (Proto-oncogene c-Fer) (p94-Fer),0,,,
Phel_contig_29060,,,,,,
Phel_contig_29061,,,,,,
Phel_contig_29062,,,,,,
Phel_contig_29063,,,,,,
Phel_contig_29064,,,,,,
Phel_contig_29065,,,,,,
Phel_contig_29066,Q6NX31,DNA replication licensing factor mcm7 (EC 3.6.4.12) (CDC47 homolog) (Minichromosome maintenance protein 7),5.00E-119,,,
Phel_contig_29067,O33013,Signal recognition particle protein (Fifty-four homolog),4.00E-145,,,
Phel_contig_29068,,,,,,
Phel_contig_29069,,,,,,
Phel_contig_2907,,,,,,
Phel_contig_29070,A4QEA4,Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase),3.00E-69,,,
Phel_contig_29072,Q6NG61,Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42) (Glutamine-synthetase adenylyltransferase) (ATase) ([Glutamate--ammonia-ligase] adenylyltransferase),1.00E-67,,,
Phel_contig_29073,Q9C0G0,Zinc finger protein 407,1.00E-41,,,
Phel_contig_29074,O14147,ATP-dependent RNA helicase chl1 (EC 3.6.4.13) (Chromosome loss protein 1),7.00E-24,,,
Phel_contig_29075,,,,,,
Phel_contig_29076,,,,,,
Phel_contig_29077,,,,,,
Phel_contig_29078,,,,,,
Phel_contig_29079,,,,,,
Phel_contig_2908,,,,,,
Phel_contig_29080,,,,,,
Phel_contig_29081,Q8CS62,UPF0173 metal-dependent hydrolase SE_1382,6.00E-28,,,
Phel_contig_29082,Q99L04,Dehydrogenase/reductase SDR family member 1 (EC 1.1.-.-),2.00E-32,,,
Phel_contig_29084,,,,,,
Phel_contig_29085,,,,,,
Phel_contig_29087,O13046,WD repeat and HMG-box DNA-binding protein 1 (Acidic nucleoplasmic DNA-binding protein 1) (And-1),2.00E-35,,,
Phel_contig_29088,Q6P402,Centrosomal protein of 89 kDa (Cep89) (Coiled-coil domain-containing protein 123),5.00E-18,,,
Phel_contig_29089,O43159,Ribosomal RNA-processing protein 8 (EC 2.1.1.-) (Cerebral protein 1) (Nucleomethylin),5.00E-37,,,
Phel_contig_2909,Q9Y2X7,ARF GTPase-activating protein GIT1 (ARF GAP GIT1) (Cool-associated and tyrosine-phosphorylated protein 1) (CAT-1) (CAT1) (G protein-coupled receptor kinase-interactor 1) (GRK-interacting protein 1),2.00E-160,,,
Phel_contig_29091,,,,,,
Phel_contig_29092,,,,,,
Phel_contig_29093,,,,,,
Phel_contig_29094,,,,,,
Phel_contig_29095,Q7TNV0,Protein DEK,2.00E-17,,,
Phel_contig_29096,Q95SX7,Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase),1.00E-06,,,
Phel_contig_29097,,,,,,
Phel_contig_29098,Q9TXQ1,Poly(ADP-ribose) polymerase pme-5 (EC 2.4.2.30) (Poly ADP-ribose metabolism enzyme 5),2.00E-18,,,
Phel_contig_29099,,,,,,
Phel_contig_291,Q03347,Runt-related transcription factor 1 (Acute myeloid leukemia 1 protein) (Core-binding factor subunit alpha-2) (CBF-alpha-2) (Oncogene AML-1) (Polyomavirus enhancer-binding protein 2 alpha B subunit) (PEA2-alpha B) (PEBP2-alpha B) (SL3-3 enhancer factor 1 alpha B subunit) (SL3/AKV core-binding factor alpha B subunit),8.00E-71,7.007605595,8.57E-26,
Phel_contig_2910,Q7ZUP1,Protein FAM46C,2.00E-131,2.011318936,0.034849859,
Phel_contig_29100,Q45291,UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase),2.00E-07,,,
Phel_contig_29101,Q5XD45,Putative hydrolase M6_Spy0533 (EC 3.-.-.-),2.00E-22,,,
Phel_contig_29102,,,,,,
Phel_contig_29104,Q5VYX0,Renalase (EC 1.4.-.-) (Monoamine oxidase-C) (MAO-C),2.00E-33,,,
Phel_contig_29105,Q96JG6,Coiled-coil domain-containing protein 132,5.00E-136,,,
Phel_contig_29106,,,,,,
Phel_contig_29107,O69460,ATP-dependent DNA helicase RecG (EC 3.6.4.12),2.00E-61,,,
Phel_contig_29108,Q58A45,PAB-dependent poly(A)-specific ribonuclease subunit 3 (hPan3),4.00E-19,,,
Phel_contig_2911,,,,,,
Phel_contig_29110,,,,,,
Phel_contig_29111,B6F1W5,"Protein kintoun (Dynein assembly factor 2, axonemal)",2.00E-23,,,
Phel_contig_29112,O55230,DNA repair protein RAD51 homolog 4 (R51H3) (RAD51 homolog D) (RAD51-like protein 3),3.00E-18,,,
Phel_contig_29113,E5RQL4,Formiminotransferase N-terminal subdomain-containing protein (Formiminotransferase-cyclodeaminase N-terminal-like protein),2.00E-19,,,
Phel_contig_29114,Q86YT6,E3 ubiquitin-protein ligase MIB1 (EC 6.3.2.-) (DAPK-interacting protein 1) (DIP-1) (Mind bomb homolog 1) (Zinc finger ZZ type with ankyrin repeat domain protein 2),3.00E-100,,,
Phel_contig_29115,,,,,,
Phel_contig_29116,P94593,Uncharacterized ATP-dependent helicase YwqA (EC 3.6.4.-),1.00E-15,,,
Phel_contig_29118,Q5ZHY5,STIP1 homology and U box-containing protein 1 (EC 6.3.2.-),7.00E-77,,,
Phel_contig_29119,Q96RL7,Vacuolar protein sorting-associated protein 13A (Chorea-acanthocytosis protein) (Chorein),1.00E-11,,,
Phel_contig_2912,,,,,,
Phel_contig_29120,,,,,,
Phel_contig_29121,,,,,,
Phel_contig_29122,,,,,,
Phel_contig_29123,,,,,,
Phel_contig_29124,,,,,,
Phel_contig_29125,Q99MU0,Protein DBF4 homolog A (ChDBF4),2.00E-09,,,
Phel_contig_29126,Q7D8M5,Putative succinyl-diaminopimelate desuccinylase DapE (SDAP desuccinylase) (EC 3.5.1.18),1.00E-24,,,
Phel_contig_29127,Q86UL8,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 (Atrophin-1-interacting protein 1) (AIP-1) (Atrophin-1-interacting protein A) (Membrane-associated guanylate kinase inverted 2) (MAGI-2)",2.00E-23,,,
Phel_contig_29128,,,,,,
Phel_contig_2913,O18638,Out at first protein,1.00E-40,,,
Phel_contig_29130,Q5RDQ2,MAGUK p55 subfamily member 5,4.00E-24,,,
Phel_contig_29131,,,,,,
Phel_contig_29133,Q84K71,"MATE efflux family protein 2, chloroplastic (Protein DTX44)",1.00E-16,,,
Phel_contig_29134,,,,,,
Phel_contig_29135,,,,,,
Phel_contig_29136,,,,,,
Phel_contig_29137,,,,,,
Phel_contig_29138,,,,,,
Phel_contig_29139,Q96H12,Myb/SANT-like DNA-binding domain-containing protein 3,2.00E-06,,,
Phel_contig_2914,Q5R869,Methionine-R-sulfoxide reductase B1 (MsrB1) (EC 1.8.4.-) (Selenoprotein X) (SelX),9.00E-36,,,
Phel_contig_29140,,,,,,
Phel_contig_29142,,,,,,
Phel_contig_29143,,,,,,
Phel_contig_29144,Q04592,Proprotein convertase subtilisin/kexin type 5 (EC 3.4.21.-) (Proprotein convertase 5) (PC5) (Proprotein convertase 6) (PC6) (Subtilisin-like proprotein convertase 6) (SPC6) (Subtilisin/kexin-like protease PC5),3.00E-51,,,
Phel_contig_29145,,,,,,
Phel_contig_29146,Q5RBN8,Protein lin-54 homolog,2.00E-26,,,
Phel_contig_29147,,,,,,
Phel_contig_29148,,,,-3.72346225,0.010159928,
Phel_contig_2915,,,,,,
Phel_contig_29150,,,,,,
Phel_contig_29151,Q5ZI87,Tubulin-specific chaperone D (Beta-tubulin cofactor D) (Tubulin-folding cofactor D),1.00E-92,,,
Phel_contig_29152,,,,,,
Phel_contig_29153,,,,,,
Phel_contig_29154,P24386,Rab proteins geranylgeranyltransferase component A 1 (Choroideremia protein) (Rab escort protein 1) (REP-1) (TCD protein),3.00E-23,,,
Phel_contig_29155,,,,,,
Phel_contig_29156,,,,-4.035493169,0.00375397,
Phel_contig_29157,,,,,,
Phel_contig_29158,A1KRJ8,30S ribosomal protein S4,6.00E-60,,,
Phel_contig_29159,,,,,,
Phel_contig_2916,Q9JME2,Carbohydrate sulfotransferase 11 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 1) (Chondroitin 4-sulfotransferase 1) (C4S-1) (C4ST-1) (C4ST1),4.00E-53,,,
Phel_contig_29160,,,,,,
Phel_contig_29161,,,,,,
Phel_contig_29162,,,,,,
Phel_contig_29163,,,,,,
Phel_contig_29165,,,,,,
Phel_contig_29166,Q5ZID6,Cytosolic 5'-nucleotidase 3A (EC 3.1.3.5) (Cytosolic 5'-nucleotidase 3) (Cytosolic 5'-nucleotidase III) (cN-III) (Pyrimidine 5'-nucleotidase 1) (P5'N-1) (P5N-1) (PN-I),4.00E-78,,,
Phel_contig_29167,Q8FN90,Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase),3.00E-75,,,
Phel_contig_29168,Q91W89,Alpha-mannosidase 2C1 (EC 3.2.1.24) (Alpha-D-mannoside mannohydrolase) (Mannosidase alpha class 2C member 1),1.00E-114,,,
Phel_contig_29169,,,,,,
Phel_contig_2917,,,,,,
Phel_contig_29170,Q8BMG7,Rab3 GTPase-activating protein non-catalytic subunit (Rab3 GTPase-activating protein 150 kDa subunit) (Rab3-GAP p150) (Rab3-GAP150) (Rab3-GAP regulatory subunit),1.00E-50,,,
Phel_contig_29172,,,,,,
Phel_contig_29173,Q9EQC0,Carbohydrate sulfotransferase 1 (EC 2.8.2.21) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 1) (GST-1) (Keratan sulfate Gal-6 sulfotransferase) (KS6ST) (KSGal6ST) (KSST),1.00E-33,,,
Phel_contig_29174,Q03923,Zinc finger protein 85 (Zinc finger protein HPF4) (Zinc finger protein HTF1),2.00E-12,,,
Phel_contig_29175,Q6NGZ4,Aspartate--tRNA ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS),4.00E-115,,,
Phel_contig_29176,,,,,,
Phel_contig_29177,Q86SF2,N-acetylgalactosaminyltransferase 7 (EC 2.4.1.-) (Polypeptide GalNAc transferase 7) (GalNAc-T7) (pp-GaNTase 7) (Protein-UDP acetylgalactosaminyltransferase 7) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 7),6.00E-48,,,
Phel_contig_29178,,,,,,
Phel_contig_29179,,,,,,
Phel_contig_29180,,,,,,
Phel_contig_29181,,,,,,
Phel_contig_29182,B2JIP4,Adenosylhomocysteinase (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase),5.00E-88,,,
Phel_contig_29183,,,,-3.230313137,0.021481298,
Phel_contig_29185,Q6V0I7,Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J),1.00E-15,,,
Phel_contig_29186,,,,,,
Phel_contig_29187,Q4R9E0,Tectonic-3,3.00E-25,,,
Phel_contig_29188,,,,,,
Phel_contig_29189,Q5ZM45,Ubiquitin carboxyl-terminal hydrolase 48 (EC 3.4.19.12) (Deubiquitinating enzyme 48) (Ubiquitin thioesterase 48) (Ubiquitin-specific-processing protease 48),3.00E-106,,,
Phel_contig_2919,,,,,,
Phel_contig_29190,P81274,G-protein-signaling modulator 2 (Mosaic protein LGN),6.00E-13,,,
Phel_contig_29191,,,,,,
Phel_contig_29192,,,,,,
Phel_contig_29193,P25238,Modification methylase KpnI (M.KpnI) (EC 2.1.1.72) (Adenine-specific methyltransferase KpnI),4.00E-29,,,
Phel_contig_29194,,,,,,
Phel_contig_29195,,,,,,
Phel_contig_29196,Q9Y5Q9,General transcription factor 3C polypeptide 3 (Transcription factor IIIC 102 kDa subunit) (TFIIIC 102 kDa subunit) (TFIIIC102) (Transcription factor IIIC subunit gamma) (TF3C-gamma),1.00E-62,,,
Phel_contig_29197,Q15131,Cyclin-dependent kinase 10 (EC 2.7.11.22) (Cell division protein kinase 10) (Serine/threonine-protein kinase PISSLRE),3.00E-84,,,
Phel_contig_29198,,,,,,
Phel_contig_29199,,,,,,
Phel_contig_292,,,,,,
Phel_contig_2920,,,,,,
Phel_contig_29200,P59015,Vacuolar protein sorting-associated protein 18 homolog,7.00E-53,,,
Phel_contig_29201,,,,,,
Phel_contig_29202,Q8CQC2,Probable succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18),2.00E-22,,,
Phel_contig_29204,Q91437,CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)],8.00E-22,,,
Phel_contig_29205,,,,,,
Phel_contig_29206,Q12789,General transcription factor 3C polypeptide 1 (TF3C-alpha) (TFIIIC box B-binding subunit) (Transcription factor IIIC 220 kDa subunit) (TFIIIC 220 kDa subunit) (TFIIIC220) (Transcription factor IIIC subunit alpha),6.00E-38,,,
Phel_contig_29207,,,,,,
Phel_contig_29208,Q91ZU6,Dystonin (Bullous pemphigoid antigen 1) (BPA) (Dystonia musculorum protein) (Hemidesmosomal plaque protein) (Microtubule actin cross-linking factor 2),1.00E-21,,,
Phel_contig_29209,Q6DJ83,Cell adhesion molecule 2 (Immunoglobulin superfamily member 4D) (IgSF4D),5.00E-06,,,
Phel_contig_2921,Q9U539,Organic cation transporter 1 (CeOCT1),3.00E-47,3.06321438,4.28E-05,
Phel_contig_29210,,,,,,
Phel_contig_29211,,,,,,
Phel_contig_29212,,,,-3.448234425,0.00873868,
Phel_contig_29213,,,,,,
Phel_contig_29214,,,,,,
Phel_contig_29215,Q6DJF8,Methyltransferase-like protein 23 (EC 2.1.1.-),2.00E-12,,,
Phel_contig_29216,,,,,,
Phel_contig_29217,O02751,Craniofacial development protein 2 (p97 bucentaur protein),3.00E-23,,,
Phel_contig_29218,,,,,,
Phel_contig_29219,Q1L8F9,UPF0536 protein C12orf66 homolog,2.00E-06,,,
Phel_contig_2922,,,,,,
Phel_contig_29220,,,,,,
Phel_contig_29221,,,,,,
Phel_contig_29222,P23351,"Ribosomal protein S5, mitochondrial",4.00E-45,,,
Phel_contig_29223,Q69Z37,Sterile alpha motif domain-containing protein 9-like (SAM domain-containing protein 9-like),2.00E-06,,,
Phel_contig_29224,Q8BKF1,"DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)",1.00E-67,,,
Phel_contig_29225,,,,,,
Phel_contig_29226,,,,,,
Phel_contig_29227,,,,,,
Phel_contig_29228,,,,,,
Phel_contig_29229,,,,,,
Phel_contig_2923,P98156,Very low-density lipoprotein receptor (VLDL receptor) (VLDL-R),0,3.333029242,5.83E-18,
Phel_contig_29231,Q6BEA0,Plexin-A4,2.00E-20,,,
Phel_contig_29232,,,,,,
Phel_contig_29233,,,,,,
Phel_contig_29235,,,,,,
Phel_contig_29236,Q8WUA4,General transcription factor 3C polypeptide 2 (TF3C-beta) (Transcription factor IIIC 110 kDa subunit) (TFIIIC 110 kDa subunit) (TFIIIC110) (Transcription factor IIIC subunit beta),1.00E-22,,,
Phel_contig_29237,,,,,,
Phel_contig_29238,,,,,,
Phel_contig_2924,,,,,,
Phel_contig_29240,P39385,Uncharacterized protein YjiN,1.00E-19,,,
Phel_contig_29241,P46872,Kinesin-II 85 kDa subunit (KRP-85/95 85 kDa subunit),8.00E-142,,,
Phel_contig_29242,Q9JYM1,Acetate kinase 1 (EC 2.7.2.1) (Acetokinase 1),7.00E-92,,,
Phel_contig_29243,Q8NCN5,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial (PDPr)",2.00E-60,,,
Phel_contig_29244,P42175,Nitrate reductase alpha chain (EC 1.7.99.4),2.00E-59,,,
Phel_contig_29245,P46871,Kinesin-II 95 kDa subunit (KRP-85/95 95 kDa subunit),4.00E-37,,,
Phel_contig_29246,,,,,,
Phel_contig_29247,,,,,,
Phel_contig_29248,,,,,,
Phel_contig_29249,,,,,,
Phel_contig_2925,O95260,Arginyl-tRNA--protein transferase 1 (Arginyltransferase 1) (R-transferase 1) (EC 2.3.2.8) (Arginine-tRNA--protein transferase 1),6.00E-68,,,
Phel_contig_29250,,,,,,
Phel_contig_29253,,,,,,
Phel_contig_29254,,,,,,
Phel_contig_29255,Q45068,Amino-acid carrier protein AlsT,6.00E-40,,,
Phel_contig_29256,,,,,,
Phel_contig_29257,Q96NW4,Ankyrin repeat domain-containing protein 27 (VPS9 domain-containing protein),4.00E-32,,,
Phel_contig_29258,,,,,,
Phel_contig_29259,Q80VJ4,Glycerophosphocholine phosphodiesterase GPCPD1 (EC 3.1.4.2) (Glycerophosphodiester phosphodiesterase 5),3.00E-39,,,
Phel_contig_2926,Q9R0I6,E3 ubiquitin-protein ligase XIAP (EC 6.3.2.-) (Baculoviral IAP repeat-containing protein 4) (IAP homolog A) (Inhibitor of apoptosis protein 3) (IAP-3) (rIAP-3) (rIAP3) (X-linked inhibitor of apoptosis protein) (X-linked IAP),5.00E-60,,,
Phel_contig_29260,,,,,,
Phel_contig_29261,,,,,,
Phel_contig_29262,,,,,,
Phel_contig_29263,,,,,,
Phel_contig_29265,Q8KY18,Alanine dehydrogenase (EC 1.4.1.1),4.00E-78,,,
Phel_contig_29266,Q5I0E6,RNA polymerase II subunit B1 CTD phosphatase Rpap2 (EC 3.1.3.16) (Putative RNA polymerase II-associated protein 2),5.00E-17,,,
Phel_contig_29267,,,,,,
Phel_contig_29268,,,,,,
Phel_contig_29269,,,,-3.050726745,0.026329581,
Phel_contig_2927,Q8CSJ2,UPF0398 protein SE_1135,4.00E-57,,,
Phel_contig_29270,,,,,,
Phel_contig_29271,,,,,,
Phel_contig_29272,Q6NIR8,Protein translocase subunit SecA 1,1.00E-36,,,
Phel_contig_29273,,,,,,
Phel_contig_29274,,,,,,
Phel_contig_29275,Q9DG67,DNA repair and recombination protein RAD54B (EC 3.6.4.-) (RAD54 homolog B),7.00E-46,,,
Phel_contig_29276,P49013,Fibropellin-3 (Epidermal growth factor-related protein 3) (Fibropellin III) (Fibropellin-c) (SpEGF III),1.00E-38,,,
Phel_contig_29277,Q6ZUK4,Transmembrane protein 26,2.00E-15,,,
Phel_contig_29278,Q0P5X1,Leucine-rich repeat and IQ domain-containing protein 1,3.00E-18,,,
Phel_contig_29279,,,,,,
Phel_contig_2928,Q5RBP4,EH domain-containing protein 1,0,,,
Phel_contig_29280,,,,,,
Phel_contig_29281,,,,,,
Phel_contig_29282,Q58E03,DnaJ homolog subfamily C member 25,2.00E-45,,,
Phel_contig_29283,,,,,,
Phel_contig_29284,,,,,,
Phel_contig_29285,O94805,Actin-like protein 6B (53 kDa BRG1-associated factor B) (Actin-related protein Baf53b) (ArpNalpha) (BRG1-associated factor 53B) (BAF53B),6.00E-75,,,
Phel_contig_29286,,,,,,
Phel_contig_29287,,,,,,
Phel_contig_29288,,,,,,
Phel_contig_29289,Q8TE73,"Dynein heavy chain 5, axonemal (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5)",2.00E-173,,,
Phel_contig_2929,,,,,,
Phel_contig_29290,,,,,,
Phel_contig_29291,P21328,RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase),3.00E-13,,,
Phel_contig_29292,Q61139,Proprotein convertase subtilisin/kexin type 7 (EC 3.4.21.-) (Prohormone convertase 7) (Proprotein convertase 7) (PC7) (Subtilisin-like proprotein convertase 7) (SPC7) (Subtilisin/kexin-like protease PC7),1.00E-94,,,
Phel_contig_29293,Q60452,TFIIH basal transcription factor complex helicase XPD subunit (EC 3.6.4.12) (CXPD) (DNA excision repair protein ERCC-2) (DNA repair protein complementing XP-D cells) (Xeroderma pigmentosum group D-complementing protein),1.00E-126,,,
Phel_contig_29294,,,,,,
Phel_contig_29295,Q12768,WASH complex subunit strumpellin,7.00E-121,,,
Phel_contig_29296,,,,,,
Phel_contig_29298,,,,,,
Phel_contig_29299,,,,,,
Phel_contig_293,,,,,,
Phel_contig_2930,Q6DHC3,Solute carrier family 25 member 40,6.00E-80,,,
Phel_contig_29300,,,,,,
Phel_contig_29301,,,,,,
Phel_contig_29302,,,,,,
Phel_contig_29303,,,,,,
Phel_contig_29304,,,,,,
Phel_contig_29305,Q8BYA0,Tubulin-specific chaperone D (Beta-tubulin cofactor D) (Tubulin-folding cofactor D),1.00E-49,,,
Phel_contig_29306,,,,,,
Phel_contig_29308,,,,,,
Phel_contig_29309,,,,,,
Phel_contig_2931,,,,-1.29960607,0.006033832,
Phel_contig_29310,,,,,,
Phel_contig_29311,Q8WUD6,Cholinephosphotransferase 1 (hCPT1) (EC 2.7.8.2) (AAPT1-like protein) (Diacylglycerol cholinephosphotransferase 1),1.00E-87,,,
Phel_contig_29312,O14757,Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1),4.00E-56,,,
Phel_contig_29313,,,,,,
Phel_contig_29314,Q8IYE1,Coiled-coil domain-containing protein 13,5.00E-15,,,
Phel_contig_29315,,,,,,
Phel_contig_29316,,,,,,
Phel_contig_29317,,,,,,
Phel_contig_29318,Q9NWY4,UPF0609 protein C4orf27,1.00E-35,,,
Phel_contig_29319,,,,,,
Phel_contig_2932,Q5M9G1,Protein HEXIM1 (Cardiac lineage protein 1),4.00E-16,,,
